meal_type,food_name,food_cuisine,calories,protein_g,carbs_g,fat_g
Breakfast,Vegetable Upma,South Indian,280,7,42,9
Dinner,Vegetable Soup,International,180,6,28,5
Dinner,Chicken Tikka,Indian,340,36,8,17
Snack,Roasted Chickpeas,Indian,220,11,35,4
Snack,Mixed Nuts,International,210,6,8,18
Lunch,Vegetable Biryani,Indian,430,10,65,13
Lunch,Chapati Dal,North Indian,390,15,61,8
Snack,Peanut Chaat,Indian,260,9,18,17
Dinner,Vegetable Khichdi,Indian,320,12,52,7
Lunch,Fish Curry Rice,South Indian,470,30,55,14
Breakfast,Masala Omelette,Indian,270,17,7,19
Breakfast,Egg Omelette,Indian,220,15,3,16
Lunch,Paneer Rice Bowl,Indian,460,20,54,17
Dinner,Grilled Chicken Salad,International,380,38,18,17
Breakfast,Masala Dosa,South Indian,410,9,55,17
Lunch,Chicken Biryani,Indian,520,27,62,18
Dinner,Fish Tikka,Indian,310,32,5,17
Lunch,Dal Tadka Rice,Indian,400,14,64,10
Snack,Boiled Eggs,Indian,155,13,1,11
Snack,Hummus with Vegetables,Middle Eastern,230,7,20,14
Lunch,Chicken Rice Bowl,International,480,35,48,14
Dinner,Chicken Soup,International,250,30,10,8
Breakfast,Poha,Indian,250,6,40,7
Snack,Buttermilk,Indian,80,4,9,3
Breakfast,Vegetable Sandwich,International,300,10,42,9
Breakfast,Ragi Dosa,South Indian,290,8,48,7
Dinner,Tofu Stir Fry,Asian,330,20,25,16
Lunch,Rajma Rice,North Indian,410,14,68,8
Lunch,Curd Rice,South Indian,330,9,52,9
Snack,Greek Yogurt,International,150,15,8,4
Breakfast,Idli,South Indian,330,8,62,4
Breakfast,Oats Porridge,International,240,9,38,6
Lunch,Vegetable Pulao,Indian,360,7,58,10
Lunch,Chole Rice,North Indian,430,15,70,9
Breakfast,Pongal,South Indian,320,8,45,11
Breakfast,Besan Chilla,North Indian,260,12,30,9
Snack,Fruit Bowl,International,180,3,42,1
Snack,Banana Smoothie,International,240,8,38,6
Lunch,Sambar Rice,South Indian,370,11,62,8
Dinner,Paneer Tikka,Indian,360,24,12,24
Breakfast,Paneer Paratha,North Indian,420,16,48,19
Snack,Makhana,Indian,190,5,25,8
Dinner,Palak Paneer,North Indian,390,20,18,26
Lunch,Vegetable Rice,Indian,390,8,65,10
Dinner,Roti Dal,North Indian,350,14,50,9
Snack,Sprouts Chaat,Indian,210,10,30,5
Dinner,Dal Soup,Indian,260,14,36,7
Lunch,Chicken Teriyaki Bowl,Asian,510,35,55,15
Breakfast,Chicken Sandwich,International,390,28,38,13
Breakfast,Ragi Idli,South Indian,270,8,48,5
Snack,Coconut Water,International,45,0,11,0
Dinner,Chana Masala,North Indian,330,15,48,8
Breakfast,Sambar Idli,South Indian,300,10,52,6
Breakfast,Egg Bhurji,Indian,280,18,6,20
Breakfast,Paneer Bhurji,North Indian,320,20,10,22
Breakfast,Oats Upma,Indian,290,10,45,8
Snack,Roasted Makhana,Indian,190,5,25,8
Lunch,Dal Khichdi,Indian,350,14,55,8
Lunch,Paneer Wrap,Indian,430,21,48,15
Dinner,Vegetable Korma,Indian,390,10,30,25
Lunch,Grilled Chicken Wrap,International,450,32,42,16
Snack,Chicken Salad,International,290,31,10,14
Snack,Apple with Peanut Butter,International,250,7,30,12
Lunch,Tofu Rice Bowl,Asian,420,21,55,12
Breakfast,Greek Yogurt Bowl,International,280,18,30,8
Breakfast,Vegetable Uttapam,South Indian,350,10,55,9
Snack,Paneer Salad,Indian,260,18,8,18
Breakfast,Vegetable Poha,Indian,250,6,40,7
Lunch,Mutton Biryani,Indian,610,31,59,25
Snack,Protein Smoothie,International,280,25,28,7
Lunch,Tomato Rice,South Indian,380,7,60,11
Breakfast,Pesarattu,South Indian,290,12,42,7
Lunch,Mediterranean Quinoa Bowl,Mediterranean,410,14,52,15
Lunch,Paneer Butter Masala Rice,North Indian,540,19,58,25
Snack,Fruit Salad,International,160,3,38,1
Lunch,Lemon Rice,South Indian,390,7,62,12
Snack,Hummus and Carrots,Middle Eastern,210,6,22,11
Breakfast,Moong Dal Chilla,Indian,260,13,34,7
Breakfast,Avocado Toast,International,310,7,35,16
Dinner,Tomato Soup,International,150,4,25,4
Lunch,Falafel Bowl,Middle Eastern,440,15,58,16
Breakfast,Fruit Oatmeal,International,300,9,52,6
